SNo,Month,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
2133,6,4,ITA,22,P.A. Trento,46.06893511,11.12123097,14,1,15,192,207,0,3762,464,4433,49920
2134,6,4,ITA,1,Piemonte,45.0732745,7.680687483,808,43,851,3705,4556,24,22292,3910,30758,214551
2135,6,4,ITA,16,Puglia,41.12559576,16.86736689,131,9,140,827,967,4,3022,514,4503,83870
2136,6,4,ITA,20,Sardegna,39.21531192,9.110616306,12,1,13,95,108,0,1118,131,1357,50865
2137,6,4,ITA,19,Sicilia,38.11569725,13.3623567,57,6,63,816,879,0,2292,276,3447,134035
2138,6,4,ITA,9,Toscana,43.76923077,11.25588885,65,24,89,794,883,1,8180,1059,10122,186632
2139,6,4,ITA,10,Umbria,43.10675841,12.38824698,15,2,17,14,31,0,1324,76,1431,52223
2140,6,4,ITA,2,Valle d'Aosta,45.73750286,7.320149366,9,0,9,1,10,0,1034,143,1187,12156
2141,6,4,ITA,5,Veneto,45.43490485,12.33845213,97,2,99,1220,1319,4,15915,1934,19168,344495
2142,6,5,ITA,13,Abruzzo,42.35122196,13.39843823,103,4,107,563,670,2,2172,415,3257,55295
2143,6,5,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,18,18,0,354,27,399,30705
2144,6,5,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,79,97,1,965,97,1159,72124
2145,6,5,ITA,15,Campania,40.83956555,14.25084984,133,7,140,634,774,0,3623,425,4822,104169
2146,6,5,ITA,8,Emilia-Romagna,44.49436681,11.3417208,281,38,319,2193,2512,17,21198,4167,27877,207533
2147,6,5,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,25,2,27,153,180,1,2762,338,3280,83600
2148,6,5,ITA,12,Lazio,41.89277044,12.48366722,480,51,531,2179,2710,9,4309,754,7773,216743
2149,6,5,ITA,7,Liguria,44.41149315,8.9326992,142,6,148,96,244,14,8056,1486,9786,62417
2150,6,5,ITA,3,Lombardia,45.46679409,9.190347404,2960,120,3080,16773,19853,402,53853,16222,89928,475041
2151,6,5,ITA,11,Marche,43.61675973,13.5188753,50,5,55,1238,1293,2,4458,989,6740,68197
2152,6,5,ITA,14,Molise,41.55774754,14.65916051,0,2,2,120,122,0,291,23,436,15568
2153,6,5,ITA,21,P.A. Bolzano,46.49933453,11.35662422,10,2,12,89,101,1,2206,292,2599,32665
2154,6,5,ITA,22,P.A. Trento,46.06893511,11.12123097,8,1,9,114,123,0,3846,464,4433,50312
2155,6,5,ITA,1,Piemonte,45.0732745,7.680687483,743,40,783,3586,4369,49,22511,3927,30807,217032
2156,6,5,ITA,16,Puglia,41.12559576,16.86736689,111,5,116,730,846,4,3140,521,4507,85007
2157,6,5,ITA,20,Sardegna,39.21531192,9.110616306,11,0,11,56,67,2,1161,131,1359,51853
2158,6,5,ITA,19,Sicilia,38.11569725,13.3623567,54,6,60,812,872,1,2300,276,3448,136155
2159,6,5,ITA,9,Toscana,43.76923077,11.25588885,55,23,78,779,857,7,8209,1063,10129,188882
2160,6,5,ITA,10,Umbria,43.10675841,12.38824698,12,2,14,15,29,0,1326,76,1431,52888
2161,6,5,ITA,2,Valle d'Aosta,45.73750286,7.320149366,9,0,9,1,10,0,1034,143,1187,12200
2162,6,5,ITA,5,Veneto,45.43490485,12.33845213,96,2,98,1131,1229,6,16007,1938,19174,346872
2163,6,6,ITA,13,Abruzzo,42.35122196,13.39843823,96,3,99,554,653,1,2187,418,3258,56223
2164,6,6,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,17,17,0,355,27,399,31102
2165,6,6,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,73,91,0,971,97,1159,73228
2166,6,6,ITA,15,Campania,40.83956555,14.25084984,97,7,104,634,738,0,3658,426,4822,105814
2167,6,6,ITA,8,Emilia-Romagna,44.49436681,11.3417208,256,35,291,2125,2416,17,21307,4171,27894,210719
2168,6,6,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,24,2,26,135,161,3,2784,338,3283,84978
2169,6,6,ITA,12,Lazio,41.89277044,12.48366722,477,49,526,2171,2697,28,4346,758,7801,219363
2170,6,6,ITA,7,Liguria,44.41149315,8.9326992,136,4,140,105,245,13,8062,1492,9799,63119
2171,6,6,ITA,3,Lombardia,45.46679409,9.190347404,2840,110,2950,16549,19499,142,54322,16249,90070,480566
2172,6,6,ITA,11,Marche,43.61675973,13.5188753,46,3,49,1146,1195,2,4556,991,6742,68775
2173,6,6,ITA,14,Molise,41.55774754,14.65916051,0,2,2,119,121,0,292,23,436,15809
2174,6,6,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,91,100,1,2208,292,2600,33291
2175,6,6,ITA,22,P.A. Trento,46.06893511,11.12123097,6,1,7,97,104,1,3866,464,4434,50758
2176,6,6,ITA,1,Piemonte,45.0732745,7.680687483,684,37,721,3446,4167,38,22744,3934,30845,219444
2177,6,6,ITA,16,Puglia,41.12559576,16.86736689,109,4,113,645,758,4,3231,522,4511,86405
2178,6,6,ITA,20,Sardegna,39.21531192,9.110616306,10,1,11,49,60,3,1171,131,1362,52956
2179,6,6,ITA,19,Sicilia,38.11569725,13.3623567,47,7,54,812,866,2,2308,276,3450,138343
2180,6,6,ITA,9,Toscana,43.76923077,11.25588885,49,22,71,714,785,5,8281,1068,10134,190860
2181,6,6,ITA,10,Umbria,43.10675841,12.38824698,11,2,13,15,28,0,1327,76,1431,53733
2182,6,6,ITA,2,Valle d'Aosta,45.73750286,7.320149366,7,0,7,5,12,2,1033,144,1189,12289
